Apple MacBook Air MQD32HN/A 13.3-inch Laptop 2017 (Core i5/8GB/128GB/MacOS Sierra/Integrated Graphics) 57,490.00
HP 15q-BU004TU 2017 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/Free DOS/Integrated Graphics), Grey 27,490.00
Dell Vostro 3468 14-inch Laptop (7th Gen i3/4GB/1TB/Windows 10/Integrated Graphics), Black with Pre-loaded with MS Office 34,990.00
Acer Aspire 3 A315-51-356P UN.GNPSI.001 15.6-inch Laptop (Core i3-6006U/4GB/1TB/Windows 10/Integrated Graphics), Obsidian Black 27,490.00
HP 15-BS576tx 2017 15.6-inch Laptop (7th Gen Core i5-7200U/8GB/1TB/DOS/2GB Graphics), Sparkling Black 44,190.00
Asus E203NA-FD026T 11.6-Inch HD Laptop (Celeron N3350/2 GB DDR 3 RAM/32 GB/Windows 10/Integrated Graphics), Star Grey 14,827.00
Dell Vostro 3568 15.6-inch Laptop (7th Gen Core i5-7200/8GB/1TB/Windows 10 Home/2GB Graphics), Black 47,990.00
Dell Inspiron 15-3567 15.6-inch Laptop (Core i3 6th Gen -6006U/4GB/1TB/Integrated Graphics) comes with Ubuntu OS. 29,194.00
HP 15-be016TU 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/FreeDOS 2.0/Integrated Graphics), Turbo Silver 28,290.00
Lenovo Ideapad 320E 80XH01FHIN 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/Windows 10/Integrated Graphics), Platinum Grey 32,503.00
Acer Aspire 5 -A515-51G 15.6 inch Laptop (Core i5 7200u/8GB/1TB/Linux/2 GB Graphics/NVIDIA 940 MX),Black 40,183.00
Lenovo Ideapad 110 80T70015IH 15.6-inch Laptop (Pentium N3710/4GB/1TB/DOS/Integrated Graphics) 23,352.00
HP 15-bs541TU 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/Windows 10 Home/MS Office H & S 2016 edition, Integrated Graphics), Sparkling Black 34,444.00
HP 15-AU003TX 15.6-inch Laptop (Core i5-6200U/8GB/1TB/Windows 10 Home/2GB Graphics), Natural Silver 47,990.00
HP 15-bs542TU 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/FreeDOS 2.0/Integrated Graphics), Sparkling Black 26,999.00
HP 15q-BU008TU 2017 15.6-inch Laptop (Pentium N3710/4GB/500GB/Fast Charge Battery/Windows 10/Integrated Graphics), Sparkling Black 23,490.00
HP 15q- BU005TU 2017 15.6-inch Laptop (Pentium N3710/4GB/1TB/Free DOS/Integrated Graphics), Jet Black 22,900.00
HP 15q-BY003AU 2017 15.6-inch Laptop (A6-9220/4GB/500GB/Windows 10/Integrated Graphics), Sparkling Black 23,990.00
iBall Exemplaire CompBook 14-inch Laptop (Atom Z3735F/2GB/32GB/Windows 10/Integrated Graphics) 11,999.00
HP 245 G5 Notebook (AMD A6 CPU/ 4GB/ 500GB/ DOS) (Black) 19,855.00
Lenovo IdeaPad 320-15ISK 80XH01FKIN 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/2TB/Windows 10/Integrated Graphics), Platinum Grey 33,333.00
Dell Inspiron 15-3567 15.6-inch Laptop (Core i5 7th Gen -7200U/8GB DDR4/1TB HDD/ DOS/2GB Graphics) Black 45,970.00
Apple MacBook Pro MJLQ2HN/A 15-inch Laptop (Core i7/16GB/256GB/Mac OS/Integrated Graphics) 137,900.00
HP 245 G6 NOTEBOOK PC (AMD 9 CPU / 4GB/1TB/DOS 14 INCH SCREEN 24,000.00
HP 15-BW098AU 15.6-inch HD Laptop (AMD E2-9000e Processor/4GB/1TB/Free DOS 2.0/Integrated Graphics), Jet Black 20,999.00
HP 14q-BU005TU 2017 14-inch Lightweight, Laptop (Core i3-6006U/4GB/1TB/Windows 10/Integrated Graphics), Jet Black 31,990.00
DELL INSPIRON 5567 CORE i3-6006U 6TH GEN/4GB/1TB/15.6"FHD/DOS (BLACK) 32,890.00
LENOVO IDEAPAD 320 AMD E2-9000 RADEON R2 7TH GEN/4GB/1 TB/15.6"/WIN10/NO BAG/BLK 23,000.00
Apple Macbook Air MQD42HN/A 13-inch Laptop (Core i5/8GB/256GB/Mac OS/Integrated Graphics), Silver 79,999.00
Lenovo IdeaPad 320S-14IKB 80X400CLIN 14-inch Laptop (7th Gen Core i3-7100U/4GB/1TB/Windows 10/Integrated Graphics), Mineral Grey 42,999.00
Asus X541UA-DM1295T 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/Windows 10/Integrated Graphics), Silver Gradient 29,470.00
Lenovo IdeaPad 320-15ISK 80XH01HBIN 15.6-inch Laptop (6th Gen Core i3-6006U/8GB/1TB/Windows 10/2GB Graphics), Platinum Grey 39,490.00
Dell Inspiron 15 3565 15-inch Laptop (7th Gen E2-9000/4GB/500GB/Ubuntu Linux 16.04/Integrated Graphics), Black 20,990.00
HP Notebook 15- bs146tu Intel (Core™ i5-8250U 8th Gen, 1.6GHz /4GB DDR4 /1TB HDD / 39.62 cm(15.6) diagonal FHD SVA anti-glare WLED-backlit/ Windows 10 Home ) Black 41,985.00
RDP ThinBook - 11.6 inch Laptop (Intel 1.92GHz Quad Core/2GB RAM/32GB Storage/Windows 10) 10,489.00
Asus Vivobook X541UA-DM1358D (Intel i3 7100U (7th Gen)/4 GB DDR4/1TB/Intel HD Graphics/DOS) - Silver 27,999.00
Asus Vivobook X541Ua-Dm1232D Intel I3 7100U(7Th Gen)/4 Gb Ddr4/1Tb/Dos (Silver) 27,270.00
HP 15-BS544TU 2017 15.6-inch Laptop (6th Gen Core i3-6006U/8GB/1TB/Free DOS/Integrated Graphics), Sparkling Black 31,887.00
Acer A315-31-P4CR UN.GNTSI.002 15.6-inch Laptop (Pentium N4200/4GB/500GB/Windows 10/Integrated Graphics), Black 20,990.00
Acer Aspire ES 15 15.6-inch Laptop (E1-7010/4GB/1TB/Linux/Integrated Graphics), Midnight Black 18,849.00
HP 15-be020TU 15.6-inch FULL HD Laptop (6th Gen Core i3-6006U/4GB/1TB/FreeDOS 2.0/Integrated Graphics), Sparkling Black 28,990.00
Lenovo Yoga 510 80VB00ADIH 14-inch Laptop (Core i3-7100U/4GB/1TB/Windows 10 Home/Integrated Graphics), White 50,772.00
iBall CompBook Marvel 6 14-inch Laptop (Celeron® N3350/3GB/32GB/Windows 10/Integrated Graphics) 13,828.00
Dell Latitude 3480, Core i3 6th Gen, 4GB RAM DDR4, 500 GB HDD, 14 inch Screen,Ubuntu Laptop 27,699.00
Apple MPXQ2HN/A Laptop (Core i5/8GB/128GB/Mac OS/Integrated Graphics), Space Grey 95,645.00
LENOVO V110 AMD E2-9010 7TH GEN/4GB/500GB/15.6”/WIN10/BLACK/NO OPTICAL DRIVE 21,495.00
HP Pavilion 13-U131TU 13.3-inch Laptop (Core i3-7100U/4GB/1TB/Windows 10 with Pre-installed MS Office Home and Student 2016/Integrated Graphics), Jack Black 42,990.00
Acer Aspire ES 15 ES1-523-20DG (NX.GKYSI.001) AMD E1 7th Gen APU Dual Core/ 4GB/ 1TB/ 15.6 inch/ Linux(Midnight Black) 18,500.00
Dell Inspiron 15 5000 5567 15.6-inch Laptop (7th Gen Core i5-7200U/8GB/2TB/Windows 10 with Office 2016 Home and Student/2GB Graphics) 53,999.00
Acer Aspire ES-15 NX.GKYSI.010 15.6-inch Laptop (A4-7210/4GB/500GB/Windows 10 Home/Integrated Graphics), Black 22,499.00
Lenovo Ideapad 110 80T700EMIH 15.6-inch Laptop (Pentium N3710/4GB/500GB/DOS/Integrated Graphics), Black 19,500.00
Apple MacBook Air MMGF2HN/A 13.3-inch Laptop (Core i5/8GB/128GB/Mac OS X/Integrated Graphics) 65,238.00
Dell Inspiron 15-3567 15.6-inch Laptop (7th Gen Core i5-7200U/4GB/1TB/DOS/Integrated Graphics), Matte Black 35,599.00
HP 14q-BU008TU 14-inch Laptop (7th Gen Intel Core i5-7200U/4GB DDR4/1TB/Windows 10 Home/Intel HD Graphics), Grey 39,990.00
PAffy Foldable Adjustable Laptop/Reading/Eating/Study Table with Cooling Fan - Green 1,099.00
HP 15-BE002TX 15.6-inch Laptop (Core i5 6th Gen/8GB/1TB/Windows 10 Home/2GB Graphics), Turbo Silver 47,990.00
HP Pavilion 13-U133TU x360 13.3-inch Laptop (7th Gen Core i5-7200U/8GB/1TB/Windows 10 Home/Integrated Graphics), Natural Silver 69,955.00
Dell Vostro 3565 AMD A6 7310, 4 gb ram ddr3, 500 gb hdd, 15.6" screen, wifi, dos 19,990.00
Lenovo IdeaPad 520-15IKB 80YL00R6IN 15.6-inch Laptop (7th Gen Core i5-7200U/8GB/2TB/Windows 10/4GB Graphics) 57,990.00
iBall i360 CompBook With HD IPS DISPLAY (2 GB/32 GB Hard Drive/windows 10) 13,940.00
Dell Inspiron 15.6 3552 15-inch Laptop (Pentium N3710/4GB/500GB/Ubuntu Linux 14.04/Integrated Graphics), Black 20,990.00
PAffy Foldable Adjustable Laptop /Reading/Eating/Study Table with Cooling Fan - Black 1,099.00
HP NOTEBOOK 15- BS179TX (INTEL CORE I5 8th Gen (8250U)/ 8GB RAM / 1TB HDD /Window 10/ 39.62 cm(15.6) diagonal FHD SVA anti-glare / AMD Radeon™ 520 Graphics 2 GB DDR3 dedicated) 48,490.00
HP Pavilion x360 14-ba075TX 14-inch Laptop (7th Gen Core i3-7100U/4GB/1TB/Windows 10 Home/2GB Graphics), Silver 50,590.00
Lenovo IdeaPad 510-15IKB 80SV00YCIH 15.6-inch Laptop (Core i5-7200U/8GB/1TB/Windows 10/2GB Graphics), Gunmetal 46,690.00
Acer A315-21G NX.GNPSI.002 15.6-inch Laptop (Core i3-6006U/4GB/500GB/Linux/Integrated Graphics), Black 23,990.00
Acer Aspire ES1-523-49C0 Laptop , Midnight Black 19,990.00
Lenovo IdeaPad 310-15IKB 80TV01BJIH 15.6-inch Laptop (Core i5-7200U/4GB/1TB/Windows 10/2GB Graphics), Flamenco Red 41,999.00
Asus R542UQ-DM164 15.6-inch Laptop (7th Gen Core i5-7200U/8GB/1TB/DOS/2GB Graphics), GOLDEN 44,490.00
(CERTIFIED REFURBISHED) Acer S1002-15XR 10.1-inch Laptop ( Atom Z3735F/2GB/32GB/Windows 10/Integrated Graphics), Dark Silver 11,542.00
Apple MacBook MLHE2HN/A 12-inch Laptop (Core m3/8GB/256GB/OS X El Capitan/Integrated Graphics), Gold 82,895.00
iBall CompBook Excelance-OHD (Intel Atom Processor Z3735F/2 GB/32 GB/29.46cm (11.6 )/Win 10) (Brown) 11,499.00
Asus X541UA-DM1233D 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/DOS/Integrated Graphics), Black 27,769.00
HP Pavilion 11-AB005TU 11.6-inch 2-in-1 Laptop (Pentium N3710/4GB/500GB/Windows 10 Home/Integrated Graphics), Jet Black 26,885.00
Dell Inspiron 15-3567 15.6-inch Laptop (Core i3 6th Gen -6006U/4GB/1TB/Windows 10/Integrated Graphics) with Preloaded MS office 2016 Home & Student 32,885.00
HP Pavilion 15-CC129TX (8th Gen i5 8250U, 8GB, 1TB + 8GB SSHD, 2GB 940MX Nvidia GFX, 15.6" Full HD, Windows 10, MS Office H&S 2016) - Mineral Silver 59,700.00
MSI Gaming GL62M 7REX-2068IN 15.6-inch Laptop (7th Gen Core i7-7700HQ/8GB/128GB SSD+1TB/Windows 10/4GB Graphics), Black 86,000.00
HP 15-bs579tx 2017 15.6-inch Laptop (6th Gen Core i3-6006U/8GB/1TB/Free DOS2.0/2GB Graphics), Sparkling Black 37,959.00
HP Notebook - 15-BS540TU Intel Core I5-7200U 8 GB DDR4-2133 SDRAM 1 TB 5400 RPM DOS 39,000.00
ASUS VivoBook Max A541UV-DM977T (7th Gen Intel® Core™ i3 7100U Processor / 4GB DDR4 / 1TB HDD / 15.6"FHD / NVIDIA GeForce 920MX-2GB DDR3 / With ODD / WIN 10 Home / 2 Year Warranty / Black) 34,995.00
HP 14q-BU007TU 2017 14-inch Lightweight, Laptop (Celeron N3060/4GB/500GB/Windows 10/Integrated Graphics), Jet Black 21,740.00
Lava twinpad 10.1-inch 2-in1 Touchscreen Laptop (T100/2GB/32GB/Windows 10/Integrated Graphics/Smart Pouch), Silver 14,999.00
HP 250 G5 Y1S88PA Laptop Intel Celeron Dual Core/ 4GB Ram/ 500GB HDD/ DOS/ 15.6"/ 1 Yrs Warranty By HP India. 19,240.00
HP 15-AY009TX 15.6-inch Laptop (Core i5-6200U/8GB/1TB/Windows 10/2GB Graphics), Silver 46,980.00
ASUS VivoBook S510UN-BQ132T (8th Gen Intel® Core™ i7 8550U (1.80 GHz. with Turbo Boost Upto 4.0 GHz.) / 16GB DDR4 / 1TB+128GB SSD / 15.6" FULL HD (1920*1080) / NVIDIA GeForce MX 150 with 2 GB DDR5 VRAM / NO ODD / WIN 10 / 2 Year Warranty / Gold) 81,490.00
ASUS LAPTOP X541NA-GO017, Celeron Dual Core N3350 CPU, 4GB RAM, 500GB HDD, DVD RW, 15.6 inch Display,Endless OS,Silver Color, 1 Yr Warranty by Asus India Service Center. 19,699.00
HP 15-AY085TU 15.6-inch Laptop (Pentium N3710/4GB/1TB/DOS/Integrated Graphics), Black 21,990.00
Lenovo Ideapad 310 80TU00D2IH 14-inch Laptop (7th Gen i5-7200U/4GB/1TB/Win 10/Integrated Graphics), Silver with Pre-Loaded MS Office 45,801.00
Acer E5-575 NX.GE6SI.016 (Intel Core i5-7200U (7th Gen) /4GB / 1TB / DVDRW / DOS) LAPTOP 33,672.00
Lenovo IdeaPad 520-15IKB 80YL00R9IN 15.6-inch Laptop (7th Gen Core i7-7500U/8GB/2TB/Windows 10/4GB Graphics) 71,990.00
Hp x360 11-U068Tu Quad core N3710 / 4gb ram ddr3 / 500 gb hdd / 11.6" hd ips touch screen / win 10 / 1 year warranty 33,060.00
RDP Thin Book -1430 14.1-inch Laptop (Intel Quad Core up to 1.84 GHz / 2GB RAM / 32GB Storage) - Windows 10,(Black) 12,800.00
Lava Helium 12 (Intel Cherry-trail Quad-core, Z8350 with speed up to 1.88 GHz, 2GB, 32GB, 12.5" HD, Windows 10 Home, 1 Year Warranty 12,999.00
iBall 11.6 Inches Compbook 13,149.00
Dell Vostro 3568 Z553511UIN9 [15.6" Anti Glare HD LED/6th Gen Intel Pentium Dual Core 4405/ 4GB DDR4 RAM/1TB HDD, Black 24,980.00
Dell Inspiron 15 Gaming 5577 15.6-inch Laptop (7th Gen Core i5-7300HQ/8GB/1TB/Windows 10 with Office 2016 Home and Student/4GB Graphics) 68,999.00
